Presion,Temperatura,v,u,h,s,,
3500,1300,0.2075,4681.8,5408,8.8786,,
4000,250.35,0.04978,2601.7,2800.8,6.0696,,
4000,275,0.05461,2668.9,2887.3,6.2312,,
4000,300,0.05887,2726.2,2961.7,6.3639,,
4000,350,0.06647,2827.4,3093.3,6.5843,,
4000,400,0.07343,2920.8,3214.5,6.7714,,
4000,450,0.08004,3011,3331.2,6.9386,,
4000,500,0.08644,3100.3,3446,7.0922,,
4000,600,0.09886,3279.4,3674.9,7.3706,,
4000,700,0.11098,3462.4,3906.3,7.6214,,
4000,800,0.12292,3650.6,4142.3,7.8523,,
4000,900,0.13476,3844.8,4383.9,8.0675,,
4000,1000,0.14653,4045.1,4631.2,8.2698,,
4000,1100,0.15824,4251.4,4884.4,8.4612,,
4000,1200,0.16992,4463.5,5143.2,8.643,,
4000,1300,0.18157,4680.9,5407.2,8.8164,,
4500,257.44,0.04406,2599.7,2798,6.0198,,error hice la tabla que no era
4500,275,0.04733,2651.4,2864.4,6.1429,,
4500,300,0.05138,2713,2944.2,6.2854,,
4500,350,0.05842,2818.6,3081.5,6.5153,,
4500,400,0.06477,2914.2,3205.7,6.7071,,
4500,450,0.07076,3005.8,3324.2,6.877,,
4500,500,0.07652,3096,3440.4,7.0323,,
4500,600,0.08766,3276,3670.9,7.3127,,
4500,700,0.0985,3460,3903.3,7.5647,,
4500,800,0.10916,3648.8,4140,7.7962,,
4500,900,0.11972,3843.3,4382.1,8.0118,,
4500,1000,0.1302,4043.9,4629.8,8.2144,,
4500,1100,0.14064,4250.4,4883.2,8.406,,
4500,1200,0.15103,4462.6,5142.2,8.588,,
4500,1300,0.1614,4680.1,5406.5,8.76116,,
5000,263.94,0.03945,2597,2794.2,5.9737,,
5000,275,0.04144,2632.3,2839.5,6.0571,,
5000,300,0.04535,2699,2925.7,6.2111,,
5000,350,0.05197,2809.5,3069.3,6.4516,,
5000,400,0.05784,2907.5,3196.7,6.6483,,
5000,450,0.06332,3000.6,3317.2,6.821,,
5000,500,0.06858,3091.8,3434.7,6.9781,,
5000,600,0.0787,3273.3,3666.9,7.2605,,
5000,700,0.08852,3457.7,3900.3,7.5136,,
5000,800,0.09816,3646.9,4137.7,7.7458,,
5000,900,0.10769,3841.8,4380.2,7.9619,,
5000,1000,0.11715,4042.6,4628.3,8.1648,,
5000,1100,0.12655,4249.3,4882.1,8.3566,,
5000,1200,0.13592,4461.6,5141.3,8.5388,,
5000,1300,0.14527,4679.3,5405.7,8.7124,,
6000,275.59,0.03245,2589.9,2784.6,5.8902,,
6000,300,0.03619,2668.4,2885.6,6.0703,,
6000,350,0.04225,2790.4,3043.9,6.3357,,
6000,400,0.04742,2893.7,3178.3,6.5432,,
6000,450,0.05217,2989.9,3302.9,6.7219,,
6000,500,0.05667,3083.1,3423.1,6.8826,,
6000,550,0.06102,3175.2,3541.3,7.0308,,
6000,600,0.06527,3267.2,3658.8,7.1693,,
6000,700,0.07355,3453,3894.3,7.4247,,
6000,800,0.08165,3643.2,4133.1,7.6582,,
6000,900,0.08964,3838.8,4376.6,7.8751,,
6000,1000,0.09756,4040.1,4625.4,8.0786,,
6000,1100,0.10543,4247.1,4879.7,8.2709,,
6000,1200,0.11326,4459.8,5139.4,8.4534,,
6000,1300,0.12107,4677.7,5404.1,8.6273,,
7000,285.83,0.027378,2581,2772.6,5.8148,,
7000,300,0.029492,2633.5,2839.9,5.9337,,
7000,350,0.035262,2770.1,3016.9,6.2305,,
7000,400,0.039958,2879.5,3159.2,6.4502,,
7000,450,0.044187,2979,3288.3,6.6353,,
7000,500,0.048157,3074.3,3411.4,6.8,,
7000,550,0.051966,3167.9,3531.6,6.9507,,
7000,600,0.055665,3261,3650.6,7.091,,
7000,700,0.06285,3448.3,3888.3,7.3487,,
7000,800,0.069856,3639.5,4128.5,7.5836,,
7000,900,0.07675,3835.7,4373,7.8014,,
7000,1000,0.083571,4037.5,4622.5,8.0055,,
7000,1100,0.090341,4245,4877.4,8.1982,,
7000,1200,0.097075,4457.9,5137.4,8.381,,
7000,1300,0.103781,4676.1,5402.6,8.5551,,
8000,295.01,0.023525,2570.5,2758.7,5.745,,
8000,300,0.024279,2592.3,2786.5,5.7937,,
8000,350,0.029975,2748.3,2988.1,6.1321,,
8000,400,0.034344,2864.6,3139.4,6.3658,,
8000,450,0.038194,2967.8,3273.3,6.5579,,
8000,500,0.041767,3065.4,3399.5,6.7266,,
8000,550,0.045172,3160.5,3521.8,6.88,,
8000,600,0.048463,3254.7,3642.4,7.0221,,
8000,700,0.054829,3443.6,3882.2,7.2822,,
